HOJA,CODIGO,DESCRIPCION
STOCK CODE,453951,UNIDAD FILTRO REGULADOR
STOCK CODE,449686,"VALVULA DE CORTE, CONEXION 1/2"""
STOCK CODE,741009,CONTACTOR BOBINA 110VAC 22KW
STOCK CODE,426965,SENSOR INDUCTIVO M30
STOCK CODE,409243,SWITCH DE PRESIÓN
STOCK CODE,504423,"CONECTOR RECTO 3/8 X 1/4"" NPT HE"
STOCK CODE,127639,INTERRUPTOR FUERZA 500V 16 AMP
STOCK CODE,407569,INTERRUPTOR SEGURIDAD
STOCK CODE,159368,CONTACTOR
STOCK CODE,6833,"MANOMETRO 2"" DIAL 0-160 PSI 1/4"" NPT"
STOCK CODE,177899,"CABLE ACERO  PLASTIFICADO 3/16"""
STOCK CODE,145839,JUEGO CONTACTO CONTACTOR SIZE 4
STOCK CODE,127605,GUARDA MOTOR 0.63-1 AMP
STOCK CODE,402685,INTERRUPTOR DE SEGURIDAD OTP90T3M 24 meses sin movimiento a clase 5 PF-53
STOCK CODE,744220,BASE PLACA SENSORES
STOCK CODE,744863,BASE SOPORTE SENSOR
STOCK CODE,361139,CAJA SUMADORA FILTRO PRENSA
STOCK CODE,55442,FILTRO DE VENTILACION
STOCK CODE,16584,FILTRO DESECHABLE  FS06C
STOCK CODE,300798,MANOMETRO PRESION 0 A 400 BAR
STOCK CODE,300780,MANOMETRO PRESION 0 A 60 BAR
STOCK CODE,744049,MINI LUBER MODEL 125CC
STOCK CODE,758539,FILTRO PRENSA
STOCK CODE,395343,"HYDRAULCI HOSE, 1014-20"
STOCK CODE,395350,"HYDRAULCI HOSE, 1014-20"
STOCK CODE,395368,"HYDRAULCI HOSE, 720-08"
STOCK CODE,395376,"HYDRAULCI HOSE, 720-08"
STOCK CODE,395384,"HYDRAULCI HOSE, 720-08"
STOCK CODE,128603,Código Ferreteria CS 000747913
STOCK CODE,166801,LUBRICADOR AUTOMATICO 150 GRS
STOCK CODE,22194,"MANOMETRO 2-1/2"" DIAL 0-1000 PSI 1/4""NPT    OBSOLES. TECNICA LIXIVIACION"
STOCK CODE,744049,MINI LUBER MODEL 125CC
STOCK CODE,22186,"MANOMETRO 2-1/2"" DIAL 0-6000 PSI 1/4""NPT"
STOCK CODE,657148,"MOBIL SHC 632, ENVASE 19 LITROS"
STOCK CODE,73700,BOMBA ALTA PRESION
