CODIGO,DESCRIPCION,MODELO,TAGS,QTY,N_PARTE
756662,LANTERN RESTRICTOR,4x3 DD-AH,,1,D118C23
757724,SHAFT SLEEVE,4x3 DD-AH,,1,D076C23
730523,VOLUTE FRAME SEAL,4x3 DD-AH,,1,D3125S01
756624,VOLUTE LINER,4x3 DD-AH,,1,D3110A05
756660,IMPELLER (METAL),4x3 DD-AH,,1,D3147A05
756659,FRAME PLATE LINER INSERT,4x3 DD-AH,,1,D3041HS1A05
756907,BEARING ASSEMBLY,4x3 DD-AH,,1,DD005M
757794,POLEA DE 18.7DP. x 8 - 5V FUND.GRIS C/N MANGUITO N°9,4x3 DD-AH,,1,PP08618700
754323,POLEA 12.5DP.x 8 - 5V,4x3 DD-AH,,1,PP08612500
761945,"PERNO, SOPORTE MOTOR (MONTAJE ZV)",4x3 DD-AH,,4,D262BE62
757797,SOPORTE MOTOR,4x3 DD-AH,,1,ZV4/3DD-AH3009
758755,PROTECCION CORREAS,4x3 DD-AH,,1,ZV4/3DD-AH2010
757795,D FRAME ZV2 DRIVE BASEPLATE D260B2E02,4x3 DD-AH,,1,D260B2E02
342527,BGV5-50-MA3x1800-M5100_BS PUR,BGV50MA3x1800,,1,V623700190
342055,BGV5-80-MR4x1800-M5100_BS PUR,BGV80MR4x1800,,1,V634700090
465583,BGV5-80-MR4x1800-M5100_BS PUR REPARABLE,BGV80MR4x1800,,1,
342998,BGV5-100-MR3x1500-M5100_BS POLIURETANO,BGV100MR3x1500,,1,V643600090
465609,BGV5-100-MR3x1500-M5100_BS POLIURETANO REPARABLE,BGV100MR3x1500,,1,
759497,BGV5-100-MR4x1500-M5100 C/MOT. 144391_1.,BGV100MR4x1500,,1,V644600261
370882,BGV5-100-MR3x1800 BBA.VERT.,BGV100MR3x1800,,1,V643700089
465591,BGV5-100-MR3x1800-M5100_BS PUR REPARABLE,BGV100MR3x1800,,1,
343012,IMPULSOR COMPLETO NEO,BGV100MR3x1800,,1,V640003062
370882,BGV5-100-MR3x1800-M5100_BS PUR,BGV100MR3x1800,,1,V643700090
342337,BOMBA ESTANSUMI ST-2-10-A PUR,ST-2,,1,U020100090
465633,BOMBA ESTANSUMI ST-2-10-A PUR REPARABLE,ST-2,,1,
342329,"Impulsor abierto bba Sumidero 2 NEO",ST-2,,1,U020208062
342295,Rodamiento 22311 E1KC3,ST-2,,1,1160080000
342287,Rodamiento 22313 EAKW33C3,ST-2,,1,1160082000
317966,BOMBA SUMERGIBLE 4-14 SHW HAZLETON,4-14SHW,310PP170A | 310PP170B,1,4-14SHW
465625,BOMBA SUMERGIBLE 4-14 SHW HAZLETON REPARABLE,4-14SHW,310PP170A | 310PP170B,1,
445445,125x80x160- ESPECIAL 10HP 380V 50Hz 4p,125x80x160,,1,B5130K6019E
758722,AGITADOR H.GORDON,LXH - 12,,1,LHX-12C001
358531,ASPA AC.172 REV.NEOPRENO,LXH - 12,,3,M40227001801C
761713,"BLADE HP 68DIA "3"P HUB"",STX-594,,3,M40234125802
761712,"BLADE PBT 56DIA "3"P HUB"",STX-594,,3,M40234125801
