HOJA,CODIGO,DESCRIPCION
PERNERIA,110775,GOLILLA PLANA F-436 3/4
PERNERIA,11684,GOLILLA PLANA F-436 3/8
PERNERIA,553180,GOLILLA PLANA F-436 7/8
PERNERIA,596239,GOLILLA PRESION 1
PERNERIA,553222,GOLILLA PRESION 1.1/4
PERNERIA,8433,GOLILLA PRESION 1/2
PERNERIA,551453,GOLILLA PRESION 1/4
PERNERIA,39644,GOLILLA PRESION 3/4
PERNERIA,344283,GOLILLA PRESION 3/8
PERNERIA,553248,GOLILLA PRESION 5/8
PERNERIA,553271,GOLILLA PRESION 7/8
PERNERIA,555045,PERNO HEXAGONAL G°8,8 M20 X 110
PERNERIA,58222,PERNO HEXAGONAL G°10.9 M20 X 100
PERNERIA,151134,PERNO HEXAGONAL G°10.9 M24 X 130
PERNERIA,359539,PERNO HEXAGONAL G°10.9 M24 X 180
PERNERIA,81202,PERNO HEXAGONAL G°10.9 M24 X 90
PERNERIA,554139,PERNO HEXAGONAL G°5 1 X 2
PERNERIA,108936,PERNO HEXAGONAL G°5 1 X 2.1/2
PERNERIA,554147,PERNO HEXAGONAL G°5 1 X 3
PERNERIA,108951,PERNO HEXAGONAL G°5 1 X 4
PERNERIA,8391,PERNO HEXAGONAL G°5 1 X 5
PERNERIA,554154,PERNO HEXAGONAL G°5 1 X 6
PERNERIA,554162,PERNO HEXAGONAL G°5 1 X 8
PERNERIA,554410,PERNO HEXAGONAL G°5 1.1/4 X 5
PERNERIA,109066,PERNO HEXAGONAL G°5 1.1/4 X 6
PERNERIA,554188,PERNO HEXAGONAL G°5 1/2 x 1.1/2
PERNERIA,554212,PERNO HEXAGONAL G°5 1/2 X 2-1/2
PERNERIA,554246,PERNO HEXAGONAL G°5 1/2 x 3
PERNERIA,12856,PERNO HEXAGONAL G°5 1/2 x 3.1/2
PERNERIA,554261,PERNO HEXAGONAL G°5 1/2 x 5
PERNERIA,554170,PERNO HEXAGONAL G°5 1/2X2
PERNERIA,39420,PERNO HEXAGONAL G°5 1/2x4
PERNERIA,12997,PERNO HEXAGONAL G°5 1/4 X 1
PERNERIA,554311,PERNO HEXAGONAL G°5 1/4 X 1.1/2
PERNERIA,554329,PERNO HEXAGONAL G°5 1/4 X 1.1/4
PERNERIA,554345,PERNO HEXAGONAL G°5 1/4 X 2
PERNERIA,554352,PERNO HEXAGONAL G°5 1/4 X 2.1/2
PERNERIA,554444,PERNO HEXAGONAL G°5 3/4 X 1.1/2
PERNERIA,596205,PERNO HEXAGONAL G°5 3/4 X 2
PERNERIA,596213,PERNO HEXAGONAL G°5 3/4 X 2.1/2
PERNERIA,554485,PERNO HEXAGONAL G°5 3/4 X 3
PERNERIA,596726,PERNO HEXAGONAL G°5 3/4 x 4
PERNERIA,110627,PERNO HEXAGONAL G°5 3/4 x 4 1/2
PERNERIA,108811,PERNO HEXAGONAL G°5 3/4 x 6
PERNERIA,89821,PERNO HEXAGONAL G°5 3/8 X 1
PERNERIA,39198,PERNO HEXAGONAL G°5 3/8 X 1.1/2
PERNERIA,39206,PERNO HEXAGONAL G°5 3/8 X 2
PERNERIA,39214,PERNO HEXAGONAL G°5 3/8 X 2.1/2
PERNERIA,554527,PERNO HEXAGONAL G°5 3/8 X 3
PERNERIA,39040,PERNO HEXAGONAL G°5 5/16 X 1
PERNERIA,554683,PERNO HEXAGONAL G°5 5/8 x 1
PERNERIA,596189,PERNO HEXAGONAL G°5 5/8 x 2
PERNERIA,554709,PERNO HEXAGONAL G°5 5/8 X 2.1/2
PERNERIA,554733,PERNO HEXAGONAL G°5 5/8 X 3
PERNERIA,110544,PERNO HEXAGONAL G°5 5/8 X 3.1/2
PERNERIA,554741,PERNO HEXAGONAL G°5 5/8 X 4
PERNERIA,761029,PERNO HEXAGONAL G°5 5/8 X 4.1/2
PERNERIA,554758,PERNO HEXAGONAL G°5 5/8 X 5
PERNERIA,108746,PERNO HEXAGONAL G°5 5/8 X 6
PERNERIA,108753,PERNO HEXAGONAL G°5 5/8 X 7
PERNERIA,761023,PERNO HEXAGONAL G°5 7/8 X 1
PERNERIA,554832,PERNO HEXAGONAL G°5 7/8 x 4
PERNERIA,761021,PERNO HEXAGONAL G°5 7/8 X 5.1/2
PERNERIA,108902,PERNO HEXAGONAL G°5 7/8 X 6
PERNERIA,758701,PERNO HEXAGONAL G°5 7/8X3.1/2
PERNERIA,760907,PERNO HEXAGONAL G°5 7/8X4.1/2
PERNERIA,700907,PERNO HEXAGONAL G°8 7/8 X 4.1/2
PERNERIA,39420,PERNO HEXAGONAL G°8 1/2 X 4.1/2
PERNERIA,597419,PERNO HEXAGONAL G°8 3/4 x 3.1/2
PERNERIA,110635,PERNO HEXAGONAL G°8 3/4 x 5
PERNERIA,761026,PERNO HEXAGONAL G°8 3/4 X 5.1/2
PERNERIA,108829,PERNO HEXAGONAL G°8 3/4 X 7
PERNERIA,553362,PERNO HEXAGONAL G°8 3/8X3.1/2
PERNERIA,554634,PERNO HEXAGONAL G°8 5/16 X 3
PERNERIA,110502,PERNO HEXAGONAL G°8 5/8 x 1.1/2
PERNERIA,110643,PERNO HEXAGONAL G°8 7/8 X 2
PERNERIA,108852,PERNO HEXAGONAL G°8 7/8 x 2.1/2
PERNERIA,554824,PERNO HEXAGONAL G°8 7/8 x 3
PERNERIA,597435,PERNO HEXAGONAL G°8 7/8 X 5
PERNERIA,757581,PERNO HEXAGONAL G°8.8 M16 X 100
PERNERIA,25205,PERNO HEXAGONAL G°8.8 M16 X 50
PERNERIA,760811,PERNO HEXAGONAL G°8.8 M16 X 70
PERNERIA,554949,PERNO HEXAGONAL G°8.8 M16 X 80
PERNERIA,58222,PERNO HEXAGONAL G°8.8 M20 X 100
PERNERIA,555045,PERNO HEXAGONAL G°8.8 M20 X 110
PERNERIA,747908,PERNO HEXAGONAL G°8.8 M20 X 50
PERNERIA,24877,PERNO HEXAGONAL G°8.8 M20 X 80
PERNERIA,554964,PERNO HEXAGONAL G°8.8 M20 X 90
PERNERIA,58198,PERNO HEXAGONAL G°8.8 M24 X 100
PERNERIA,747962,PERNO HEXAGONAL G°8.8 M24 X 140
PERNERIA,339539,PERNO HEXAGONAL G°8.8 M24 X 180
PERNERIA,529578,PERNO HEXAGONAL G°8.8 M24 X 60
PERNERIA,554980,PERNO HEXAGONAL G°8.8 M24 X 75
PERNERIA,54262,PERNO HEXAGONAL G°8.8 M24 X 80
PERNERIA,556175,TUERCA HEXAGONAL 8.8 M16
PERNERIA,138933,TUERCA HEXAGONAL G°10.9 M24
PERNERIA,596767,TUERCA HEXAGONAL G°5 1
PERNERIA,109231,TUERCA HEXAGONAL G°5 1.1/4
PERNERIA,559353,TUERCA HEXAGONAL G°5 1/2
"PERNERIA,556209,TUERCA HEXAGONAL G°5 1/4"""
PERNERIA,596247,TUERCA HEXAGONAL G°5 3/4
PERNERIA,556027,TUERCA HEXAGONAL G°5 3/8
PERNERIA,556050,TUERCA HEXAGONAL G°5 5/8
PERNERIA,14514,TUERCA HEXAGONAL G°5 7 / 8
PERNERIA,597443,TUERCA HEXAGONAL G°8 1/2
PERNERIA,556019,TUERCA HEXAGONAL G°8 3/4
PERNERIA,110726,TUERCA HEXAGONAL G°8 5/8
PERNERIA,556175,TUERCA HEXAGONAL G°8.8 M16
PERNERIA,753383,TUERCA HEXAGONAL G°8.8 M20
PERNERIA,138933,TUERCA HEXAGONAL G°8.8 M24
